scene_id,sensor,acquisition_date,season,lakes,classes,scene_partition,protected_from_los,train_rows,test_rows,los_test_rows,total_rows
LC08_L1TP_194027_20220810_20220818_02_T1,LC08,2022-08-10,JJA,greifensee,3,development,False,44,6,0,50
LC08_L1TP_194027_20230101_20230110_02_T1,LC08,2023-01-01,DJF,ageri,1;2;3,los_test,False,0,0,115,115
LC08_L1TP_194027_20230322_20230325_02_T1,LC08,2023-03-22,MAM,ageri;greifensee,1;2;3,development,False,267,33,0,300
LC08_L1TP_194027_20230610_20230614_02_T1,LC08,2023-06-10,JJA,ageri,1;2;3,development,False,132,18,0,150
LC08_L1TP_194027_20230626_20230701_02_T1,LC08,2023-06-26,JJA,ageri,1;2;3,development,False,133,17,0,150
LC08_L1TP_194027_20230813_20230819_02_T1,LC08,2023-08-13,JJA,ageri,1;2;3,los_test,False,0,0,150,150
LC08_L1TP_194027_20231016_20231102_02_T1,LC08,2023-10-16,SON,ageri,3,development,False,45,5,0,50
LC08_L1TP_194027_20231203_20231209_02_T1,LC08,2023-12-03,DJF,greifensee,1;2;3,development,False,134,16,0,150
LC08_L1TP_194027_20231219_20240103_02_T1,LC08,2023-12-19,DJF,ageri;greifensee,1;2;3,development,False,139,17,0,156
LC08_L1TP_194027_20240120_20240129_02_T1,LC08,2024-01-20,DJF,ageri;greifensee,1;2;3,development,False,177,23,0,200
LC08_L1TP_194027_20240205_20240212_02_T1,LC08,2024-02-05,DJF,ageri,1;2;3,development,False,133,17,0,150
LC08_L1TP_194027_20240511_20240520_02_T1,LC08,2024-05-11,MAM,ageri,1;2;3,development,False,135,15,0,150
LC08_L1TP_194027_20240612_20240628_02_T1,LC08,2024-06-12,JJA,ageri,1;2;3,development,False,109,12,0,121
LC08_L1TP_194027_20240730_20240801_02_T1,LC08,2024-07-30,JJA,ageri,1;2;3,development,False,135,15,0,150
LC08_L1TP_194027_20240815_20240822_02_T1,LC08,2024-08-15,JJA,ageri,1;2;3,development,False,135,15,0,150
LC08_L1TP_194027_20240831_20240906_02_T1,LC08,2024-08-31,JJA,ageri,1;2;3,development,False,135,15,0,150
LC08_L1TP_194027_20241221_20241228_02_T1,LC08,2024-12-21,DJF,ageri,1;2;3,development,False,133,17,0,150
LC08_L1TP_194027_20250412_20250416_02_T1,LC08,2025-04-12,MAM,ageri;greifensee,3,los_test,False,0,0,100,100
LC08_L1TP_194027_20250428_20250508_02_T1,LC08,2025-04-28,MAM,ageri,1;2;3,development,False,134,16,0,150
LC08_L1TP_194027_20250514_20250529_02_T1,LC08,2025-05-14,MAM,greifensee,3,development,False,45,5,0,50
LC08_L1TP_194027_20250530_20250606_02_T1,LC08,2025-05-30,MAM,ageri;greifensee,1;2;3,development,False,149,19,0,168
LC08_L1TP_194027_20250701_20250711_02_T1,LC08,2025-07-01,JJA,ageri,3,development,False,44,6,0,50
LC08_L1TP_194028_20210924_20210930_02_T1,LC08,2021-09-24,SON,bianco,3,development,False,45,5,0,50
LC08_L1TP_194028_20240730_20240801_02_T1,LC08,2024-07-30,JJA,bianco,3,development,False,45,5,0,50
LC08_L1TP_194028_20241103_20241112_02_T1,LC08,2024-11-03,SON,bianco,3,development,False,44,6,0,50
LC08_L1TP_194028_20250919_20250929_02_T1,LC08,2025-09-19,SON,bianco,3,los_test,False,0,0,50,50
LC08_L1TP_195027_20220310_20220315_02_T1,LC08,2022-03-10,MAM,greifensee,3,development,False,45,5,0,50
LC08_L1TP_195027_20220902_20220910_02_T1,LC08,2022-09-02,SON,greifensee,3,development,False,45,5,0,50
LC08_L1TP_195027_20221121_20221129_02_T1,LC08,2022-11-21,SON,ageri,1;2;3,development,False,113,14,0,127
LC08_L1TP_195027_20230209_20230217_02_T1,LC08,2023-02-09,DJF,ageri,3,development,False,44,6,0,50
LC08_L1TP_195027_20230820_20230826_02_T1,LC08,2023-08-20,JJA,ageri,1;2;3,development,False,132,18,0,150
LC08_L1TP_195027_20230905_20230912_02_T1,LC08,2023-09-05,SON,ageri;greifensee,3,development,False,89,11,0,100
LC08_L1TP_195027_20231108_20231117_02_T1,LC08,2023-11-08,SON,ageri,3,development,False,44,6,0,50
LC08_L1TP_195027_20240315_20240401_02_T1,LC08,2024-03-15,MAM,ageri,1;2;3,development,False,117,15,0,132
LC08_L1TP_195027_20240416_20240423_02_T1,LC08,2024-04-16,MAM,ageri,1;2;3,development,False,133,17,0,150
LC08_L1TP_195027_20240518_20240605_02_T1,LC08,2024-05-18,MAM,ageri,1;2;3,development,False,75,8,0,83
LC08_L1TP_195027_20240619_20240706_02_T1,LC08,2024-06-19,JJA,ageri,1;2;3,development,False,134,16,0,150
LC08_L1TP_195027_20240705_20240712_02_T1,LC08,2024-07-05,JJA,ageri,1;2;3,development,False,134,16,0,150
LC08_L1TP_195027_20240721_20240723_02_T1,LC08,2024-07-21,JJA,ageri,1;2;3,development,False,134,16,0,150
LC08_L1TP_195027_20240806_20240814_02_T1,LC08,2024-08-06,JJA,greifensee,3,development,False,45,5,0,50
LC08_L1TP_195027_20240907_20240914_02_T1,LC08,2024-09-07,SON,ageri,3,development,False,45,5,0,50
LC08_L1TP_195027_20250113_20250122_02_T1,LC08,2025-01-13,DJF,ageri,3,development,False,45,5,0,50
LC08_L1TP_195027_20250403_20250411_02_T1,LC08,2025-04-03,MAM,ageri,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20160816_20200906_02_T1,LC08,2016-08-16,JJA,geneva,3,development,False,44,6,0,50
LC08_L1TP_195028_20161206_20200905_02_T1,LC08,2016-12-06,DJF,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20170107_20200905_02_T1,LC08,2017-01-07,DJF,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20170328_20200904_02_T1,LC08,2017-03-28,MAM,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20170413_20200904_02_T1,LC08,2017-04-13,MAM,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20170515_20200904_02_T1,LC08,2017-05-15,MAM,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20170718_20200903_02_T1,LC08,2017-07-18,JJA,geneva,3,development,False,44,6,0,50
LC08_L1TP_195028_20180227_20200902_02_T1,LC08,2018-02-27,DJF,geneva,1;2;3,development,False,135,15,0,150
LC08_L1TP_195028_20180518_20200901_02_T1,LC08,2018-05-18,MAM,geneva,1;2;3,los_test,False,0,0,150,150
LC08_L1TP_195028_20180806_20200831_02_T1,LC08,2018-08-06,JJA,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20181009_20200830_02_T1,LC08,2018-10-09,SON,geneva,3,development,False,45,5,0,50
LC08_L1TP_195028_20181025_20200830_02_T1,LC08,2018-10-25,SON,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20181212_20200830_02_T1,LC08,2018-12-12,DJF,geneva,1;2;3,development,False,132,18,0,150
LC08_L1TP_195028_20190129_20200830_02_T1,LC08,2019-01-29,DJF,geneva,1;2;3,los_test,False,0,0,150,150
LC08_L1TP_195028_20190724_20200827_02_T1,LC08,2019-07-24,JJA,geneva,3,development,False,45,5,0,50
LC08_L1TP_195028_20190809_20200827_02_T1,LC08,2019-08-09,JJA,geneva,1;2;3,development,False,135,15,0,150
LC08_L1TP_195028_20200304_20200822_02_T1,LC08,2020-03-04,MAM,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20200811_20200918_02_T1,LC08,2020-08-11,JJA,geneva,1;2;3,development,False,132,18,0,150
LC08_L1TP_195028_20200827_20200905_02_T1,LC08,2020-08-27,JJA,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20200912_20200919_02_T1,LC08,2020-09-12,SON,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20201030_20201106_02_T1,LC08,2020-10-30,SON,geneva,1;2;3,los_test,False,0,0,150,150
LC08_L1TP_195028_20210118_20210306_02_T1,LC08,2021-01-18,DJF,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20210219_20210302_02_T1,LC08,2021-02-19,DJF,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_195028_20220222_20220301_02_T1,LC08,2022-02-22,DJF,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_195028_20220716_20220726_02_T1,LC08,2022-07-16,JJA,geneva,1;2;3,development,False,132,18,0,150
LC08_L1TP_195028_20230617_20230623_02_T1,LC08,2023-06-17,JJA,geneva,1;2;3,development,False,135,15,0,150
LC08_L1TP_195028_20230820_20230826_02_T1,LC08,2023-08-20,JJA,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20231007_20231011_02_T1,LC08,2023-10-07,SON,geneva,3,development,False,44,6,0,50
LC08_L1TP_195028_20231108_20231117_02_T1,LC08,2023-11-08,SON,geneva,1;2;3,development,False,132,18,0,150
LC08_L1TP_195028_20231124_20231129_02_T1,LC08,2023-11-24,SON,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20240315_20240401_02_T1,LC08,2024-03-15,MAM,geneva,1;2;3,development,False,135,15,0,150
LC08_L1TP_195028_20240619_20240706_02_T1,LC08,2024-06-19,JJA,geneva,3,development,False,45,5,0,50
LC08_L1TP_195028_20240705_20240712_02_T1,LC08,2024-07-05,JJA,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20240822_20240830_02_T1,LC08,2024-08-22,JJA,geneva,3,development,False,44,6,0,50
LC08_L1TP_195028_20250113_20250122_02_T1,LC08,2025-01-13,DJF,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20250129_20250131_02_T1,LC08,2025-01-29,DJF,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_195028_20250302_20250311_02_T1,LC08,2025-03-02,MAM,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_195028_20250403_20250411_02_T1,LC08,2025-04-03,MAM,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_195028_20250622_20250630_02_T1,LC08,2025-06-22,JJA,geneva,1;2;3,development,False,132,18,0,150
LC08_L1TP_195028_20250708_20250715_02_T1,LC08,2025-07-08,JJA,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20170522_20200903_02_T1,LC08,2017-05-22,MAM,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20170623_20200903_02_T1,LC08,2017-06-23,JJA,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20170826_20200903_02_T1,LC08,2017-08-26,JJA,geneva,3,development,False,45,5,0,50
LC08_L1TP_196028_20171013_20200902_02_T1,LC08,2017-10-13,SON,geneva,3,development,False,44,6,0,50
LC08_L1TP_196028_20171114_20200902_02_T1,LC08,2017-11-14,SON,geneva,1;2;3,development,False,135,15,0,150
LC08_L1TP_196028_20180322_20200901_02_T1,LC08,2018-03-22,MAM,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20180626_20200831_02_T1,LC08,2018-06-26,JJA,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20181016_20200830_02_T1,LC08,2018-10-16,SON,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_196028_20190104_20200829_02_T1,LC08,2019-01-04,DJF,geneva,1;2;3,development,False,132,18,0,150
LC08_L1TP_196028_20190205_20200829_02_T1,LC08,2019-02-05,DJF,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20190221_20200829_02_T1,LC08,2019-02-21,DJF,geneva,3,development,False,45,5,0,50
LC08_L1TP_196028_20190325_20200829_02_T1,LC08,2019-03-25,MAM,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_196028_20190629_20200827_02_T1,LC08,2019-06-29,JJA,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_196028_20190917_20200826_02_T1,LC08,2019-09-17,SON,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20191003_20200825_02_T1,LC08,2019-10-03,SON,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20191206_20200824_02_T1,LC08,2019-12-06,DJF,geneva,1;2;3,development,False,132,18,0,150
LC08_L1TP_196028_20200208_20200823_02_T1,LC08,2020-02-08,DJF,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_196028_20200224_20200822_02_T1,LC08,2020-02-24,DJF,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20200530_20200820_02_T1,LC08,2020-05-30,MAM,geneva,3,development,False,44,6,0,50
LC08_L1TP_196028_20200903_20200918_02_T1,LC08,2020-09-03,SON,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20201122_20210315_02_T1,LC08,2020-11-22,SON,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_196028_20210415_20210424_02_T1,LC08,2021-04-15,MAM,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20210618_20210628_02_T1,LC08,2021-06-18,JJA,geneva,3,development,False,45,5,0,50
LC08_L1TP_196028_20210906_20210915_02_T1,LC08,2021-09-06,SON,geneva,3,development,True,120,30,0,150
LC08_L1TP_196028_20220301_20220309_02_T1,LC08,2022-03-01,MAM,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_196028_20220418_20220427_02_T1,LC08,2022-04-18,MAM,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20220520_20220525_02_T1,LC08,2022-05-20,MAM,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20220621_20220701_02_T1,LC08,2022-06-21,JJA,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_196028_20230131_20230208_02_T1,LC08,2023-01-31,DJF,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20230405_20230412_02_T1,LC08,2023-04-05,MAM,geneva,1;2;3,development,False,132,18,0,150
LC08_L1TP_196028_20230624_20230630_02_T1,LC08,2023-06-24,JJA,geneva,3,development,False,45,5,0,50
LC08_L1TP_196028_20230710_20230718_02_T1,LC08,2023-07-10,JJA,geneva,1;2;3,los_test,False,0,0,150,150
LC08_L1TP_196028_20230811_20230818_02_T1,LC08,2023-08-11,JJA,geneva,1;2;3,development,False,132,18,0,150
LC08_L1TP_196028_20240219_20240228_02_T1,LC08,2024-02-19,DJF,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20240509_20240514_02_T1,LC08,2024-05-09,MAM,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_196028_20240525_20240610_02_T1,LC08,2024-05-25,MAM,geneva,3,development,False,44,6,0,50
LC08_L1TP_196028_20240626_20240709_02_T1,LC08,2024-06-26,JJA,geneva,1;2;3,development,False,132,18,0,150
LC08_L1TP_196028_20240712_20240719_02_T1,LC08,2024-07-12,JJA,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_196028_20240728_20240801_02_T1,LC08,2024-07-28,JJA,geneva,1;2;3,development,False,133,17,0,150
LC08_L1TP_196028_20240914_20240920_02_T1,LC08,2024-09-14,SON,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_196028_20240930_20241005_02_T1,LC08,2024-09-30,SON,geneva,1;2;3,development,False,134,16,0,150
LC08_L1TP_196028_20250410_20250416_02_T1,LC08,2025-04-10,MAM,geneva,1;2;3,los_test,False,0,0,150,150
LC08_L1TP_196028_20250613_20250626_02_T1,LC08,2025-06-13,JJA,geneva,1;2;3,development,False,135,15,0,150
LC09_L1TP_023030_20211108_20230506_02_T1,LC09,2021-11-08,SON,mendota,3,development,False,45,5,0,50
LC09_L1TP_024030_20211123_20230505_02_T1,LC09,2021-11-23,SON,mendota,1;2;3,development,False,132,18,0,150
LC09_L1TP_024030_20220624_20230409_02_T1,LC09,2022-06-24,JJA,mendota,1;2;3,development,False,132,18,0,150
LC09_L1TP_024030_20230526_20230526_02_T1,LC09,2023-05-26,MAM,mendota,1;2;3,development,False,135,15,0,150
LC09_L1TP_191028_20241224_20241224_02_T1,LC09,2024-12-24,DJF,venice,1;2;3,development,False,134,16,0,150
LC09_L1TP_191029_20240615_20240615_02_T1,LC09,2024-06-15,JJA,venice,1;2;3,development,False,132,18,0,150
LC09_L1TP_191029_20240717_20240718_02_T1,LC09,2024-07-17,JJA,venice,1;2;3,development,False,133,17,0,150
LC09_L1TP_191029_20250517_20250517_02_T1,LC09,2025-05-17,MAM,venice,1;2;3,development,False,132,18,0,150
LC09_L1TP_192028_20240809_20240809_02_T1,LC09,2024-08-09,JJA,venice,1;2;3,development,False,135,15,0,150
LC09_L1TP_192029_20240505_20240505_02_T1,LC09,2024-05-05,MAM,venice,1;2;3,development,False,132,18,0,150
LC09_L1TP_192029_20240708_20240708_02_T1,LC09,2024-07-08,JJA,venice,1;2;3,development,False,135,15,0,150
LC09_L1TP_192029_20240724_20240724_02_T1,LC09,2024-07-24,JJA,venice,1;2;3,development,False,134,16,0,150
LC09_L1TP_192029_20240910_20240910_02_T1,LC09,2024-09-10,SON,venice,1;2;3,development,False,133,17,0,150
LC09_L1TP_192029_20241012_20241012_02_T1,LC09,2024-10-12,SON,venice,1;2;3,los_test,False,0,0,150,150
LC09_L1TP_192029_20250422_20250422_02_T1,LC09,2025-04-22,MAM,venice,1;2;3,development,False,133,17,0,150
LC09_L1TP_193028_20220912_20230329_02_T1,LC09,2022-09-12,SON,bianco,3,development,False,44,6,0,50
LC09_L1TP_193028_20221030_20230323_02_T1,LC09,2022-10-30,SON,bianco,3,development,False,44,6,0,50
LC09_L1TP_194027_20220311_20230425_02_T1,LC09,2022-03-11,MAM,greifensee,3,development,False,45,5,0,50
LC09_L1TP_194027_20220717_20230407_02_T1,LC09,2022-07-17,JJA,greifensee,3,los_test,False,0,0,50,50
LC09_L1TP_194027_20221208_20230318_02_T1,LC09,2022-12-08,DJF,ageri,1;2;3,development,False,121,15,0,136
LC09_L1TP_194027_20230720_20230720_02_T1,LC09,2023-07-20,JJA,ageri,1;2;3,los_test,False,0,0,150,150
LC09_L1TP_194027_20231227_20231227_02_T1,LC09,2023-12-27,DJF,ageri,1;2;3,development,False,133,17,0,150
LC09_L1TP_194027_20240128_20240128_02_T1,LC09,2024-01-28,DJF,ageri,1;2;3,development,False,134,16,0,150
LC09_L1TP_194027_20240229_20240229_02_T1,LC09,2024-02-29,DJF,ageri,1;2;3,development,False,133,17,0,150
LC09_L1TP_194027_20240604_20240604_02_T1,LC09,2024-06-04,JJA,ageri,1;2;3,development,False,133,17,0,150
LC09_L1TP_194027_20250215_20250215_02_T1,LC09,2025-02-15,DJF,ageri,1;2;3,los_test,False,0,0,115,115
LC09_L1TP_194027_20250709_20250709_02_T1,LC09,2025-07-09,JJA,ageri,1;2;3,development,False,133,17,0,150
LC09_L1TP_195027_20220113_20230502_02_T1,LC09,2022-01-13,DJF,greifensee,1;2;3,development,False,133,17,0,150
LC09_L1TP_195027_20220825_20230401_02_T1,LC09,2022-08-25,JJA,greifensee,3,development,False,45,5,0,50
LC09_L1TP_195027_20230609_20230610_02_T1,LC09,2023-06-09,JJA,ageri,1;2;3,development,False,133,17,0,150
LC09_L1TP_195027_20230625_20230625_02_T1,LC09,2023-06-25,JJA,ageri,1;2;3,development,False,134,16,0,150
LC09_L1TP_195027_20230711_20230711_02_T1,LC09,2023-07-11,JJA,ageri,1;2;3,development,False,133,17,0,150
LC09_L1TP_195027_20240204_20240204_02_T1,LC09,2024-02-04,DJF,ageri,1;3,development,False,90,10,0,100
LC09_L1TP_195027_20240510_20240510_02_T1,LC09,2024-05-10,MAM,greifensee,1;2;3,development,False,133,17,0,150
LC09_L1TP_195027_20240814_20240814_02_T1,LC09,2024-08-14,JJA,ageri,1;2;3,development,False,132,18,0,150
LC09_L1TP_195027_20250630_20250630_02_T1,LC09,2025-06-30,JJA,ageri,1;2;3,development,False,134,16,0,150
LC09_L1TP_195028_20211106_20230507_02_T1,LC09,2021-11-06,SON,geneva,1;2;3,development,False,134,16,0,150
LC09_L1TP_195028_20211212_20230505_02_T1,LC09,2021-12-12,DJF,geneva,1;2;3,development,False,133,17,0,150
LC09_L1TP_195028_20220113_20230502_02_T1,LC09,2022-01-13,DJF,geneva,1;2;3,development,False,135,15,0,150
LC09_L1TP_195028_20220129_20230430_02_T1,LC09,2022-01-29,DJF,geneva,1;2;3,los_test,False,0,0,150,150
LC09_L1TP_195028_20220419_20230421_02_T1,LC09,2022-04-19,MAM,geneva,1;2;3,development,False,132,18,0,150
LC09_L1TP_195028_20220606_20230414_02_T1,LC09,2022-06-06,JJA,geneva,1;2;3,development,False,133,17,0,150
LC09_L1TP_195028_20220724_20230406_02_T1,LC09,2022-07-24,JJA,geneva,3,development,False,44,6,0,50
LC09_L1TP_195028_20220825_20230401_02_T1,LC09,2022-08-25,JJA,geneva,1;2;3,development,False,134,16,0,150
LC09_L1TP_195028_20230201_20230311_02_T1,LC09,2023-02-01,DJF,geneva,1;2;3,development,False,133,17,0,150
LC09_L1TP_195028_20230305_20230307_02_T1,LC09,2023-03-05,MAM,geneva,1;2;3,los_test,False,0,0,150,150
LC09_L1TP_195028_20230406_20230406_02_T1,LC09,2023-04-06,MAM,geneva,1;2;3,development,False,133,17,0,150
LC09_L1TP_195028_20240103_20240103_02_T1,LC09,2024-01-03,DJF,geneva,1;2;3,development,False,133,17,0,150
LC09_L1TP_195028_20240119_20240119_02_T1,LC09,2024-01-19,DJF,geneva,1;2;3,development,False,133,17,0,150
LC09_L1TP_195028_20240220_20240220_02_T1,LC09,2024-02-20,DJF,geneva,1;2;3,development,False,134,16,0,150
LC09_L1TP_195028_20240323_20240323_02_T1,LC09,2024-03-23,MAM,geneva,1;2;3,development,False,132,18,0,150
LC09_L1TP_195028_20240424_20240424_02_T1,LC09,2024-04-24,MAM,geneva,1;3,los_test,False,0,0,100,100
LC09_L1TP_195028_20240713_20240713_02_T1,LC09,2024-07-13,JJA,geneva,1;2;3,development,False,135,15,0,150
LC09_L1TP_195028_20240830_20240830_02_T1,LC09,2024-08-30,JJA,geneva,1;2;3,los_test,False,0,0,150,150
LC09_L1TP_195028_20240915_20240915_02_T1,LC09,2024-09-15,SON,geneva,1;2;3,development,False,132,18,0,150
LC09_L1TP_195028_20241204_20241204_02_T1,LC09,2024-12-04,DJF,geneva,1;2;3,development,False,135,15,0,150
LC09_L1TP_195028_20250529_20250529_02_T1,LC09,2025-05-29,MAM,geneva,1;2;3,development,False,134,16,0,150
LC09_L1TP_195028_20250630_20250630_02_T1,LC09,2025-06-30,JJA,geneva,1;2;3,development,False,132,18,0,150
LC09_L1TP_195028_20250716_20250716_02_T1,LC09,2025-07-16,JJA,geneva,1;2;3,development,False,132,18,0,150
LC09_L1TP_196028_20220512_20230417_02_T1,LC09,2022-05-12,MAM,geneva,1;2;3,development,False,134,16,0,150
LC09_L1TP_196028_20220901_20230331_02_T1,LC09,2022-09-01,SON,geneva,1;2;3,development,False,135,15,0,150
LC09_L1TP_196028_20221019_20230325_02_T1,LC09,2022-10-19,SON,geneva,1;2;3,development,False,133,17,0,150
LC09_L1TP_196028_20221206_20230318_02_T1,LC09,2022-12-06,DJF,geneva,1;2;3,development,False,135,15,0,150
LC09_L1TP_196028_20230904_20230904_02_T1,LC09,2023-09-04,SON,geneva,1;2;3,development,False,133,17,0,150
LC09_L1TP_196028_20231006_20231006_02_T1,LC09,2023-10-06,SON,geneva,1;2;3,development,False,133,17,0,150
LC09_L1TP_196028_20231022_20231022_02_T1,LC09,2023-10-22,SON,geneva,1;2;3,los_test,False,0,0,150,150
LC09_L1TP_196028_20231225_20231225_02_T1,LC09,2023-12-25,DJF,geneva,1;2;3,development,False,133,17,0,150
LC09_L1TP_196028_20240314_20240316_02_T1,LC09,2024-03-14,MAM,geneva,1;2;3,development,False,133,17,0,150
LC09_L1TP_196028_20240517_20240517_02_T1,LC09,2024-05-17,MAM,geneva,1;2;3,development,False,134,16,0,150
